Name,Album,Artist,Genre,Subgenre,Publish Date,Duration,BPM,Vocal Rage,E2_binary,F2_binary,F♯2_binary,G2_binary,G♯2_binary,A2_binary,A♯2_binary,B2_binary,C3_binary,C♯3_binary,D3_binary,D♯3_binary,E3_binary,F3_binary,F♯3_binary,G3_binary,G♯3_binary,A3_binary,A♯3_binary,B3_binary,C4_binary,C♯4_binary,D4_binary,D♯4_binary,E4_binary,F4_binary,F♯4_binary,G4_binary,G♯4_binary,A4_binary,A♯4_binary,B4_binary,C5_binary,C♯5_binary,D5_binary,D♯5_binary,E5_binary,F5_binary,F♯5_binary,G5_binary,G♯5_binary,A5_binary,A♯5_binary,B5_binary,C6_binary,E2_freq,F2_freq,F♯2_freq,G2_freq,G♯2_freq,A2_freq,A♯2_freq,B2_freq,C3_freq,C♯3_freq,D3_freq,D♯3_freq,E3_freq,F3_freq,F♯3_freq,G3_freq,G♯3_freq,A3_freq,A♯3_freq,B3_freq,C4_freq,C♯4_freq,D4_freq,D♯4_freq,E4_freq,F4_freq,F♯4_freq,G4_freq,G♯4_freq,A4_freq,A♯4_freq,B4_freq,C5_freq,C♯5_freq,D5_freq,D♯5_freq,E5_freq,F5_freq,F♯5_freq,G5_freq,G♯5_freq,A5_freq,A♯5_freq,B5_freq,C6_freq,D1_binary,E1_binary,F1_binary,G1_binary,A1_binary,B1_binary,C♯2_binary,D♯2_binary,C♯6_binary,D1_freq,E1_freq,F1_freq,G1_freq,A1_freq,B1_freq,C♯2_freq,D♯2_freq,C♯6_freq,C1_binary,C♯1_binary,D♯1_binary,F♯1_binary,G♯1_binary,A♯1_binary,C2_binary,D♯6_binary,F6_binary,F♯6_binary,G6_binary,C1_freq,C♯1_freq,D♯1_freq,F♯1_freq,G♯1_freq,A♯1_freq,C2_freq,D♯6_freq,F6_freq,F♯6_freq,G6_freq,D2_binary,D6_binary,E6_binary,G♯6_binary,A6_binary,A♯6_binary,B6_binary,D2_freq,D6_freq,E6_freq,G♯6_freq,A6_freq,A♯6_freq,B6_freq
Bakemonogatari-Kimi no Shiranai Monogatari,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,,3,2,6,357,44,58,68,355,555,303,756,274,545,290,450,2908,556,1194,474,1997,921,562,3581,384,1376,302,2189,4954,338,2603,479,3165,861,85,56,47,19,28,59,293,32,90,11,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,2.0,80.0,296.0,2.0,,,1.0,1.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,30.0,2.0,9.0,9.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
Bakemonogatari-Renai Circulation,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,2,7,11,35,75,385,138,87,271,127,135,111,303,375,407,690,1180,2724,1712,1347,4134,1465,1632,623,2505,1274,410,643,429,501,312,311,139,79,29,30,35,24,34,26,215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,176.0,2.0,2.0,2.0,1.0,2.0,27.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,2.0,,1.0,1.0,2.0,2.0,79.0,4.0,18.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,9.0,3.0,1.0,28.0,13.0
Bakemonogatari-SugarSweet Nightmare,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,8,9,2,4,8,39,195,146,428,373,197,90,183,1048,534,296,186,394,567,674,1819,2411,1608,3005,1679,2784,755,2077,1488,663,784,225,971,168,50,27,71,43,7,53,27,7,24,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,55.0,362.0,2.0,2.0,2.0,3.0,1.0,305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,42.0,5.0,5.0,9.0,3.0,3.0,3.0,,,,,0.0,0.0,,,,,,3.0,7.0,,,,,
Bleach_-_Change,,,,,,,,,0,,0,,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,,1,,1,,31,166,369,363,398,260,501,449,480,417,331,395,371,250,436,618,625,599,1474,914,1811,2137,1918,1808,1318,2033,1394,511,1132,531,78,85,41,97,32,23,30,32,130,,0.0,0.0,,0.0,0.0,,0.0,0.0,,3.0,361.0,,1.0,1.0,,1.0,21.0,,,,0.0,,,0.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,
Bleach_-_Harukaze,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,3,1,3,6,36,128,260,467,417,452,583,243,327,475,391,478,418,698,298,946,678,1522,4388,1625,4406,765,3699,1115,283,825,95,210,33,48,69,47,26,29,75,51,12,66,60,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,89.0,298.0,2.0,2.0,1.0,,,47.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,25.0,5.0,5.0,8.0,,,2.0,12.0,7.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,7.0,198.0,30.0,22.0,344.0
Blood-C_-_Junketsu_Paradox,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,1,21,36,90,84,138,254,215,245,308,917,452,347,816,537,696,811,986,1166,539,1773,1365,2475,1236,663,1062,1364,2620,582,977,480,208,264,106,82,99,50,68,42,49,57,,,,,,,,,0.0,,,,,,,,,13.0,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,1.0,1.0,1.0,1.0,,,,0.0,,0.0,1.0,,,,1.0,,1.0,566.0
Chuunibyou_Demo_Koi_ga_Shitai_-_Inside_Identity,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,4,2,1,,9,7,57,71,135,404,253,202,194,285,236,152,219,266,487,546,773,1896,1144,2365,1871,4360,1155,660,2436,1283,1918,573,399,171,137,90,58,52,41,24,117,57,164,112,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,14.0,284.0,2.0,3.0,3.0,3.0,3.0,90.0,,,,0.0,,,,0.0,0.0,0.0,0.0,,,,1.0,,,,6.0,8.0,4.0,12.0,,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,8.0,3.0,29.0,30.0,325.0
Chuunibyou_Demo_Koi_ga_Shitai_Lite_-_Shikkoku_ni_Odoru_Haou_Bushi,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,40,2,1,2,1,21,41,51,59,59,61,41,66,131,150,87,140,272,256,545,471,778,830,1153,1939,1857,2412,2336,1782,1453,481,467,228,130,303,112,196,57,93,120,80,88,27,55,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,11.0,133.0,3.0,3.0,2.0,3.0,2.0,36.0,,,,,,0.0,,0.0,0.0,0.0,0.0,,,,,,1.0,,203.0,28.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,26.0,16.0,4.0,10.0,85.0,463.0
Densetsu_no_Yuusha_no_Densetsu_-_Last_Inferno,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,7,2,2,4,3,28,44,474,259,438,776,628,400,382,535,635,408,381,196,400,589,683,1013,709,1518,871,2499,3442,474,1640,877,1129,642,317,1133,198,390,121,59,428,44,56,231,625,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,141.0,3.0,2.0,1.0,2.0,2.0,197.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,,,2.0,1.0,266.0,6.0,5.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,17.0,5.0,51.0,14.0,162.0
Ef_-_A_Tale_of_Melodies_-_Ebullient_Future,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,,1,1,,,1,313,21,160,203,171,230,212,621,762,337,190,296,963,192,498,676,175,189,129,626,365,221,2144,529,4082,566,2551,2314,119,865,108,621,41,4,16,9,34,3,12,,0.0,0.0,,0.0,,,0.0,0.0,,83.0,423.0,,1.0,,,1.0,7.0,,,0.0,,0.0,0.0,0.0,,,,,,,23.0,,1.0,1.0,1.0,,,,,0.0,,,,,,,1.0,,,,,,
End_of_Evangelion_-_Thanatos_If_I_Cant_Be_Yours,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,3,18,3,2,3,2,3,15,77,304,560,282,274,288,610,224,381,979,249,214,754,856,1307,679,1882,2174,1449,2304,1672,3781,1668,756,1737,389,668,197,550,716,30,187,55,52,80,16,71,0.0,0.0,0.0,,,0.0,,0.0,0.0,8.0,34.0,136.0,,,1.0,,1.0,14.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,7.0,,6.0,5.0,1.0,1.0,,73.0,20.0,21.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,16.0,14.0,1.0,1.0,12.0
Evangelion_-_Cruel_Angels_Thesis,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,105,1,,1,1,24,10,22,33,30,131,38,67,140,356,381,628,908,611,1584,1157,2238,3028,1121,3534,1048,2175,1317,385,1496,385,490,89,80,179,42,43,40,111,32,5,19,30,243,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3.0,136.0,2.0,2.0,2.0,3.0,3.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
Evangelion_Death__Rebirth_-_Tamashii_no_Rufuran_Aqua_Groove_Remix,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,23,19,7,15,19,260,82,84,116,173,547,296,629,419,616,734,650,1679,1681,1635,2027,916,2374,1009,5059,1180,350,1013,502,3394,162,1533,1357,39,19,9,82,92,20,97,57,20,12,17,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,64.0,77.0,19.0,35.0,19.0,14.0,20.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,123.0,20.0,24.0,22.0,14.0,17.0,16.0,,1.0,,,0.0,0.0,0.0,0.0,,0.0,1.0,30.0,117.0,1.0,1.0,,2.0,839.0
Fairy_Tail_OVA_-_Daily_Hymn_This_Place,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,2,1,3,27,42,57,510,156,353,178,264,699,371,546,333,1321,1165,526,1573,1043,1292,771,2191,2495,1176,1483,809,1715,778,148,417,79,50,47,30,16,9,8,14,10,57,42,249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,75.0,1.0,9.0,26.0,4.0,3.0,19.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,13.0,2.0,,,6.0,13.0,6.0,38.0,,,,0.0,0.0,,,,,,3.0,4.0,,,,,
FateZero_-_Oath_Sign,,,,,,,,,0,0,0,0,,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,9,28,1,2,,2,,2,16,130,201,177,214,111,658,148,181,55,129,407,611,1004,1795,691,1204,1043,2844,1488,1511,2291,633,2429,713,874,554,204,169,139,67,123,227,250,166,341,242,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,3.0,322.0,1.0,1.0,,1.0,1.0,373.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,9.0,3.0,3.0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,,41.0,1.0,6.0,1.0,2.0,18.0
FateZero_2_-_To_The_Beginning,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,,0,5,30,1,3,4,119,6,59,8,17,109,684,45,55,233,230,172,450,702,600,1093,1021,1017,831,1762,1244,1909,1078,1772,3178,1821,831,691,1541,757,145,273,170,114,92,7,13,164,,4,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,23.0,127.0,4.0,2.0,1.0,2.0,,24.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,1.0,7.0,1.0,1.0,2.0,38.0,1.0,,1.0,0.0,,0.0,,,0.0,0.0,3.0,,12.0,,,2.0,351.0
Ga-Rei_Zero_-_Paradise_Lost,,,,,,,,,0,0,,,0,,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,1,,21,64,177,165,302,430,880,785,658,733,543,1260,939,1988,902,1012,1903,1617,4288,875,1931,1481,376,1052,239,1094,385,68,89,130,335,72,233,87,23,41,53,247,136,,,0.0,0.0,0.0,,,,0.0,,,101.0,1.0,1.0,,,,67.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,5.0,166.0,62.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,11.0,147.0,3.0,8.0,154.0
Gundam_Seed_Destiny_Special_-_Tears,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,19,38,4,5,2,17,30,35,254,180,328,332,214,341,490,671,309,432,420,377,1635,1035,1690,471,1425,4407,1455,4586,765,2162,972,122,292,30,38,17,75,157,22,82,16,39,14,,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,13.0,358.0,2.0,2.0,2.0,2.0,8.0,1.0,,,,,,,,0.0,,0.0,0.0,,,,,,,,1.0,,1.0,1.0,,,,,,0.0,0.0,,,,,,1.0,253.0
Gundam_UC_-_ReI_AM,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,,74,1,1,1,12,22,10,217,75,149,449,115,255,270,655,2338,632,826,431,1220,1224,1397,3799,956,1608,695,1462,6175,1001,2875,758,1426,465,287,465,151,114,72,190,1044,60,208,14,220,,,,,,,,,0.0,,,,,,,,,30.0,,,,,,,,0.0,0.0,,0.0,,,,,,,,4.0,19.0,,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,196.0,2.0,63.0,17.0,4.0
